zip,service,tier,region
02659,Ground Economy,DAS,Contiguous U.S.
02660,Ground Economy,DAS,Contiguous U.S.
02662,Ground Economy,DAS,Contiguous U.S.
02663,Ground Economy,DAS Extended,Contiguous U.S.
02666,Ground Economy,DAS Extended,Contiguous U.S.
02667,Ground Economy,DAS Extended,Contiguous U.S.
02668,Ground Economy,DAS,Contiguous U.S.
02669,Ground Economy,DAS,Contiguous U.S.
02670,Ground Economy,DAS,Contiguous U.S.
02671,Ground Economy,DAS,Contiguous U.S.
02675,Ground Economy,DAS,Contiguous U.S.
02702,Ground Economy,DAS,Contiguous U.S.
02713,Ground Economy,DAS Extended,Contiguous U.S.
02715,Ground Economy,DAS,Contiguous U.S.
02717,Ground Economy,DAS,Contiguous U.S.
02722,Ground Economy,DAS,Contiguous U.S.
02739,Ground Economy,DAS,Contiguous U.S.
02743,Ground Economy,DAS,Contiguous U.S.
02744,Ground Economy,DAS,Contiguous U.S.
02748,Ground Economy,DAS,Contiguous U.S.
02769,Ground Economy,DAS Extended,Contiguous U.S.
02790,Ground Economy,DAS,Contiguous U.S.
02801,Ground Economy,DAS,Contiguous U.S.
02804,Ground Economy,DAS,Contiguous U.S.
02807,Ground Economy,DAS Extended,Contiguous U.S.
02808,Ground Economy,DAS Extended,Contiguous U.S.
02812,Ground Economy,DAS,Contiguous U.S.
02813,Ground Economy,DAS Extended,Contiguous U.S.
02814,Ground Economy,DAS,Contiguous U.S.
02815,Ground Economy,DAS Extended,Contiguous U.S.
02816,Ground Economy,DAS,Contiguous U.S.
02817,Ground Economy,DAS,Contiguous U.S.
02818,Ground Economy,DAS,Contiguous U.S.
02822,Ground Economy,DAS Extended,Contiguous U.S.
02825,Ground Economy,DAS Extended,Contiguous U.S.
02827,Ground Economy,DAS Extended,Contiguous U.S.
02829,Ground Economy,DAS,Contiguous U.S.
02830,Ground Economy,DAS Extended,Contiguous U.S.
02832,Ground Economy,DAS Extended,Contiguous U.S.
02833,Ground Economy,DAS Extended,Contiguous U.S.
02835,Ground Economy,DAS,Contiguous U.S.
02836,Ground Economy,DAS,Contiguous U.S.
02837,Ground Economy,DAS,Contiguous U.S.
02838,Ground Economy,DAS,Contiguous U.S.
02839,Ground Economy,DAS,Contiguous U.S.
02857,Ground Economy,DAS Extended,Contiguous U.S.
02858,Ground Economy,DAS,Contiguous U.S.
02859,Ground Economy,DAS,Contiguous U.S.
02872,Ground Economy,DAS Extended,Contiguous U.S.
02873,Ground Economy,DAS,Contiguous U.S.
02874,Ground Economy,DAS Extended,Contiguous U.S.
02875,Ground Economy,DAS Extended,Contiguous U.S.
02876,Ground Economy,DAS,Contiguous U.S.
02877,Ground Economy,DAS,Contiguous U.S.
02878,Ground Economy,DAS,Contiguous U.S.
02879,Ground Economy,DAS,Contiguous U.S.
02880,Ground Economy,DAS,Contiguous U.S.
02883,Ground Economy,DAS Extended,Contiguous U.S.
02891,Ground Economy,DAS,Contiguous U.S.
02892,Ground Economy,DAS Extended,Contiguous U.S.
02894,Ground Economy,DAS Extended,Contiguous U.S.
02896,Ground Economy,DAS,Contiguous U.S.
02898,Ground Economy,DAS Extended,Contiguous U.S.
03032,Ground Economy,DAS,Contiguous U.S.
03033,Ground Economy,DAS,Contiguous U.S.
03034,Ground Economy,DAS,Contiguous U.S.
03036,Ground Economy,DAS,Contiguous U.S.
03037,Ground Economy,DAS Extended,Contiguous U.S.
03040,Ground Economy,DAS,Contiguous U.S.
03043,Ground Economy,DAS Extended,Contiguous U.S.
03044,Ground Economy,DAS Extended,Contiguous U.S.
03045,Ground Economy,DAS,Contiguous U.S.
03046,Ground Economy,DAS,Contiguous U.S.
03047,Ground Economy,DAS Extended,Contiguous U.S.
03048,Ground Economy,DAS,Contiguous U.S.
03049,Ground Economy,DAS,Contiguous U.S.
03055,Ground Economy,DAS,Contiguous U.S.
03057,Ground Economy,DAS,Contiguous U.S.
03070,Ground Economy,DAS,Contiguous U.S.
03071,Ground Economy,DAS Extended,Contiguous U.S.
03082,Ground Economy,DAS Extended,Contiguous U.S.
03084,Ground Economy,DAS,Contiguous U.S.
03086,Ground Economy,DAS,Contiguous U.S.
03215,Ground Economy,DAS Extended,Contiguous U.S.
03216,Ground Economy,DAS Extended,Contiguous U.S.
03217,Ground Economy,DAS Extended,Contiguous U.S.
03218,Ground Economy,DAS Extended,Contiguous U.S.
03220,Ground Economy,DAS,Contiguous U.S.
03221,Ground Economy,DAS Extended,Contiguous U.S.
03222,Ground Economy,DAS Extended,Contiguous U.S.
03223,Ground Economy,DAS Extended,Contiguous U.S.
03224,Ground Economy,DAS Extended,Contiguous U.S.
03225,Ground Economy,DAS Extended,Contiguous U.S.
03226,Ground Economy,DAS,Contiguous U.S.
03227,Ground Economy,DAS Extended,Contiguous U.S.
03229,Ground Economy,DAS,Contiguous U.S.
03230,Ground Economy,DAS Extended,Contiguous U.S.
03231,Ground Economy,DAS Extended,Contiguous U.S.
03233,Ground Economy,DAS,Contiguous U.S.
03234,Ground Economy,DAS Extended,Contiguous U.S.
03235,Ground Economy,DAS,Contiguous U.S.
03237,Ground Economy,DAS Extended,Contiguous U.S.
03238,Ground Economy,DAS,Contiguous U.S.
03240,Ground Economy,DAS Extended,Contiguous U.S.
03241,Ground Economy,DAS Extended,Contiguous U.S.
03242,Ground Economy,DAS Extended,Contiguous U.S.
03243,Ground Economy,DAS Extended,Contiguous U.S.
03244,Ground Economy,DAS Extended,Contiguous U.S.
03245,Ground Economy,DAS Extended,Contiguous U.S.
03246,Ground Economy,DAS,Contiguous U.S.
03249,Ground Economy,DAS,Contiguous U.S.
03251,Ground Economy,DAS Extended,Contiguous U.S.
03252,Ground Economy,DAS,Contiguous U.S.
03253,Ground Economy,DAS Extended,Contiguous U.S.
03254,Ground Economy,DAS,Contiguous U.S.
03255,Ground Economy,DAS Extended,Contiguous U.S.
03256,Ground Economy,DAS Extended,Contiguous U.S.
03257,Ground Economy,DAS,Contiguous U.S.
03258,Ground Economy,DAS,Contiguous U.S.
03259,Ground Economy,DAS Extended,Contiguous U.S.
03260,Ground Economy,DAS Extended,Contiguous U.S.
03261,Ground Economy,DAS Extended,Contiguous U.S.
03262,Ground Economy,DAS Extended,Contiguous U.S.
03263,Ground Economy,DAS Extended,Contiguous U.S.
03264,Ground Economy,DAS,Contiguous U.S.
03266,Ground Economy,DAS Extended,Contiguous U.S.
03268,Ground Economy,DAS Extended,Contiguous U.S.
03269,Ground Economy,DAS Extended,Contiguous U.S.
03272,Ground Economy,DAS Extended,Contiguous U.S.
03273,Ground Economy,DAS Extended,Contiguous U.S.
03275,Ground Economy,DAS,Contiguous U.S.
03278,Ground Economy,DAS Extended,Contiguous U.S.
03279,Ground Economy,DAS Extended,Contiguous U.S.
03280,Ground Economy,DAS Extended,Contiguous U.S.
03281,Ground Economy,DAS,Contiguous U.S.
03282,Ground Economy,DAS Extended,Contiguous U.S.
03284,Ground Economy,DAS Extended,Contiguous U.S.
03285,Ground Economy,DAS Extended,Contiguous U.S.
03287,Ground Economy,DAS Extended,Contiguous U.S.
03290,Ground Economy,DAS Extended,Contiguous U.S.
03291,Ground Economy,DAS,Contiguous U.S.
03293,Ground Economy,DAS,Contiguous U.S.
03303,Ground Economy,DAS,Contiguous U.S.
03304,Ground Economy,DAS,Contiguous U.S.
03307,Ground Economy,DAS Extended,Contiguous U.S.
03440,Ground Economy,DAS Extended,Contiguous U.S.
03441,Ground Economy,DAS Extended,Contiguous U.S.
03442,Ground Economy,DAS Extended,Contiguous U.S.
03443,Ground Economy,DAS Extended,Contiguous U.S.
03444,Ground Economy,DAS Extended,Contiguous U.S.
03445,Ground Economy,DAS Extended,Contiguous U.S.
03446,Ground Economy,DAS,Contiguous U.S.
03447,Ground Economy,DAS Extended,Contiguous U.S.
03448,Ground Economy,DAS,Contiguous U.S.
03449,Ground Economy,DAS,Contiguous U.S.
03450,Ground Economy,DAS Extended,Contiguous U.S.
03451,Ground Economy,DAS,Contiguous U.S.
03452,Ground Economy,DAS,Contiguous U.S.
03455,Ground Economy,DAS Extended,Contiguous U.S.
03456,Ground Economy,DAS Extended,Contiguous U.S.
03457,Ground Economy,DAS Extended,Contiguous U.S.
03458,Ground Economy,DAS,Contiguous U.S.
03461,Ground Economy,DAS,Contiguous U.S.
03462,Ground Economy,DAS Extended,Contiguous U.S.
03464,Ground Economy,DAS Extended,Contiguous U.S.
03465,Ground Economy,DAS Extended,Contiguous U.S.
03466,Ground Economy,DAS,Contiguous U.S.
03467,Ground Economy,DAS,Contiguous U.S.
03469,Ground Economy,DAS,Contiguous U.S.
03470,Ground Economy,DAS,Contiguous U.S.
03561,Ground Economy,DAS Extended,Contiguous U.S.
03570,Ground Economy,DAS,Contiguous U.S.
03574,Ground Economy,DAS Extended,Contiguous U.S.
03575,Ground Economy,DAS,Contiguous U.S.
03576,Ground Economy,DAS Extended,Contiguous U.S.
03579,Ground Economy,DAS Extended,Contiguous U.S.
03580,Ground Economy,DAS Extended,Contiguous U.S.
03581,Ground Economy,DAS,Contiguous U.S.
03582,Ground Economy,DAS Extended,Contiguous U.S.
03583,Ground Economy,DAS Extended,Contiguous U.S.
03584,Ground Economy,DAS,Contiguous U.S.
03585,Ground Economy,DAS,Contiguous U.S.
03586,Ground Economy,DAS Extended,Contiguous U.S.
03588,Ground Economy,DAS Extended,Contiguous U.S.
03590,Ground Economy,DAS Extended,Contiguous U.S.
03592,Ground Economy,DAS Extended,Contiguous U.S.
03593,Ground Economy,DAS Extended,Contiguous U.S.
03595,Ground Economy,DAS Extended,Contiguous U.S.
03597,Ground Economy,DAS Extended,Contiguous U.S.
03598,Ground Economy,DAS,Contiguous U.S.
03601,Ground Economy,DAS Extended,Contiguous U.S.
03602,Ground Economy,DAS Extended,Contiguous U.S.
03603,Ground Economy,DAS Extended,Contiguous U.S.
03608,Ground Economy,DAS,Contiguous U.S.
03609,Ground Economy,DAS Extended,Contiguous U.S.
03740,Ground Economy,DAS Extended,Contiguous U.S.
03741,Ground Economy,DAS,Contiguous U.S.
03743,Ground Economy,DAS,Contiguous U.S.
03745,Ground Economy,DAS Extended,Contiguous U.S.
03746,Ground Economy,DAS Extended,Contiguous U.S.
03748,Ground Economy,DAS,Contiguous U.S.
03750,Ground Economy,DAS Extended,Contiguous U.S.
03751,Ground Economy,DAS Extended,Contiguous U.S.
03752,Ground Economy,DAS Extended,Contiguous U.S.
03753,Ground Economy,DAS,Contiguous U.S.
03754,Ground Economy,DAS,Contiguous U.S.
03765,Ground Economy,DAS Extended,Contiguous U.S.
03768,Ground Economy,DAS Extended,Contiguous U.S.
03769,Ground Economy,DAS,Contiguous U.S.
03770,Ground Economy,DAS,Contiguous U.S.
03771,Ground Economy,DAS,Contiguous U.S.
03773,Ground Economy,DAS,Contiguous U.S.
03777,Ground Economy,DAS Extended,Contiguous U.S.
03779,Ground Economy,DAS Extended,Contiguous U.S.
03780,Ground Economy,DAS Extended,Contiguous U.S.
03781,Ground Economy,DAS Extended,Contiguous U.S.
03782,Ground Economy,DAS Extended,Contiguous U.S.
03809,Ground Economy,DAS Extended,Contiguous U.S.
03810,Ground Economy,DAS Extended,Contiguous U.S.
03811,Ground Economy,DAS,Contiguous U.S.
03812,Ground Economy,DAS Extended,Contiguous U.S.
03813,Ground Economy,DAS Extended,Contiguous U.S.
03814,Ground Economy,DAS Extended,Contiguous U.S.
03815,Ground Economy,DAS Extended,Contiguous U.S.
03816,Ground Economy,DAS Extended,Contiguous U.S.
03817,Ground Economy,DAS Extended,Contiguous U.S.
03818,Ground Economy,DAS Extended,Contiguous U.S.
03819,Ground Economy,DAS,Contiguous U.S.
03823,Ground Economy,DAS,Contiguous U.S.
03824,Ground Economy,DAS,Contiguous U.S.
03825,Ground Economy,DAS,Contiguous U.S.
03827,Ground Economy,DAS,Contiguous U.S.
03830,Ground Economy,DAS Extended,Contiguous U.S.
03832,Ground Economy,DAS Extended,Contiguous U.S.
03835,Ground Economy,DAS Extended,Contiguous U.S.
03836,Ground Economy,DAS Extended,Contiguous U.S.
03837,Ground Economy,DAS Extended,Contiguous U.S.
03838,Ground Economy,DAS,Contiguous U.S.
03841,Ground Economy,DAS,Contiguous U.S.
03844,Ground Economy,DAS,Contiguous U.S.
03845,Ground Economy,DAS Extended,Contiguous U.S.
03846,Ground Economy,DAS Extended,Contiguous U.S.
03848,Ground Economy,DAS,Contiguous U.S.
03849,Ground Economy,DAS Extended,Contiguous U.S.
03850,Ground Economy,DAS,Contiguous U.S.
03851,Ground Economy,DAS Extended,Contiguous U.S.
03852,Ground Economy,DAS Extended,Contiguous U.S.
03853,Ground Economy,DAS Extended,Contiguous U.S.
03855,Ground Economy,DAS Extended,Contiguous U.S.
03856,Ground Economy,DAS,Contiguous U.S.
03860,Ground Economy,DAS Extended,Contiguous U.S.
03861,Ground Economy,DAS,Contiguous U.S.
03864,Ground Economy,DAS Extended,Contiguous U.S.
03868,Ground Economy,DAS,Contiguous U.S.
03869,Ground Economy,DAS,Contiguous U.S.
03870,Ground Economy,DAS,Contiguous U.S.
03872,Ground Economy,DAS Extended,Contiguous U.S.
03873,Ground Economy,DAS,Contiguous U.S.
03875,Ground Economy,DAS Extended,Contiguous U.S.
03882,Ground Economy,DAS Extended,Contiguous U.S.
03883,Ground Economy,DAS Extended,Contiguous U.S.
03884,Ground Economy,DAS Extended,Contiguous U.S.
03886,Ground Economy,DAS Extended,Contiguous U.S.
03887,Ground Economy,DAS Extended,Contiguous U.S.
03890,Ground Economy,DAS Extended,Contiguous U.S.
03894,Ground Economy,DAS Extended,Contiguous U.S.
03896,Ground Economy,DAS Extended,Contiguous U.S.
03897,Ground Economy,DAS Extended,Contiguous U.S.
03901,Ground Economy,DAS,Contiguous U.S.
03902,Ground Economy,DAS,Contiguous U.S.
03903,Ground Economy,DAS,Contiguous U.S.
03905,Ground Economy,DAS,Contiguous U.S.
03907,Ground Economy,DAS,Contiguous U.S.
03908,Ground Economy,DAS,Contiguous U.S.
04001,Ground Economy,DAS Extended,Contiguous U.S.
04002,Ground Economy,DAS,Contiguous U.S.
04003,Ground Economy,DAS Extended,Contiguous U.S.
04008,Ground Economy,DAS Extended,Contiguous U.S.
04009,Ground Economy,DAS Extended,Contiguous U.S.
04010,Ground Economy,DAS Extended,Contiguous U.S.
04013,Ground Economy,DAS Extended,Contiguous U.S.
04015,Ground Economy,DAS Extended,Contiguous U.S.
04016,Ground Economy,DAS Extended,Contiguous U.S.
04017,Ground Economy,DAS Extended,Contiguous U.S.
04019,Ground Economy,DAS Extended,Contiguous U.S.
04020,Ground Economy,DAS Extended,Contiguous U.S.
04021,Ground Economy,DAS,Contiguous U.S.
04022,Ground Economy,DAS Extended,Contiguous U.S.
04024,Ground Economy,DAS Extended,Contiguous U.S.
04027,Ground Economy,DAS Extended,Contiguous U.S.
04029,Ground Economy,DAS Extended,Contiguous U.S.
04030,Ground Economy,DAS,Contiguous U.S.
04032,Ground Economy,DAS Extended,Contiguous U.S.
04033,Ground Economy,DAS,Contiguous U.S.
04034,Ground Economy,DAS Extended,Contiguous U.S.
04037,Ground Economy,DAS Extended,Contiguous U.S.
04038,Ground Economy,DAS,Contiguous U.S.
04039,Ground Economy,DAS,Contiguous U.S.
04040,Ground Economy,DAS Extended,Contiguous U.S.
04041,Ground Economy,DAS Extended,Contiguous U.S.
04042,Ground Economy,DAS,Contiguous U.S.
04046,Ground Economy,DAS,Contiguous U.S.
04047,Ground Economy,DAS Extended,Contiguous U.S.
04048,Ground Economy,DAS Extended,Contiguous U.S.
04049,Ground Economy,DAS Extended,Contiguous U.S.
04050,Ground Economy,DAS Extended,Contiguous U.S.
04051,Ground Economy,DAS Extended,Contiguous U.S.
04053,Ground Economy,DAS Extended,Contiguous U.S.
04054,Ground Economy,DAS,Contiguous U.S.
04055,Ground Economy,DAS Extended,Contiguous U.S.
04056,Ground Economy,DAS Extended,Contiguous U.S.
04057,Ground Economy,DAS Extended,Contiguous U.S.
04061,Ground Economy,DAS,Contiguous U.S.
04062,Ground Economy,DAS,Contiguous U.S.
